日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2026/1/5,14:02:00,基金,有色ETF大成(159980.XSHE),买,市价单,244000股,2.049,499956,244000股,-,0,99.99,全部成交,2026/1/5 14:02
2026/1/9,14:00:00,基金,有色ETF大成(159980.XSHE),卖,市价单,-244000股,2.086,-508984,-244000股,-,9028,101.8,全部成交,2026/1/9 14:00
2026/1/9,14:02:00,基金,500ETF(510500.XSHG),买,市价单,62100股,8.183,508164.3,62100股,-,0,101.63,全部成交,2026/1/9 14:02
2026/1/13,14:00:00,基金,500ETF(510500.XSHG),卖,市价单,-62100股,8.341,-517976.1,-62100股,-,9811.8,103.6,全部成交,2026/1/13 14:00
2026/1/13,14:02:00,基金,中韩芯片(513310.XSHG),买,市价单,172500股,3.004,518190,172500股,-,0,103.64,全部成交,2026/1/13 14:02
2026/1/14,14:00:00,基金,中韩芯片(513310.XSHG),卖,市价单,-172500股,2.983,-514567.5,-172500股,-,-3622.5,102.91,全部成交,2026/1/14 14:00
2026/1/14,14:02:00,基金,国投白银LOF(161226.XSHE),买,市价单,176000股,2.923,514448,176000股,-,0,102.89,全部成交,2026/1/14 14:02
2026/1/16,14:00:00,基金,国投白银LOF(161226.XSHE),卖,市价单,-176000股,3.13,-550880,-176000股,-,36432,110.18,全部成交,2026/1/16 14:00
2026/1/16,14:02:00,基金,中韩芯片(513310.XSHG),买,市价单,174600股,3.153,550513.8,174600股,-,0,110.1,全部成交,2026/1/16 14:02
2026/1/23,11:00:00,基金,中韩芯片(513310.XSHG),卖,市价单,-174600股,3.174,-554180.4,-174600股,-,3666.6,110.84,全部成交,2026/1/23 11:00
2026/1/23,14:02:00,基金,500ETF(510500.XSHG),买,市价单,63900股,8.667,553821.3,63900股,-,0,110.76,全部成交,2026/1/23 14:02
2026/1/26,14:00:00,基金,500ETF(510500.XSHG),卖,市价单,-63900股,8.552,-546472.8,-63900股,-,-7348.5,109.29,全部成交,2026/1/26 14:00
